City,County,Population 
Los Angeles,Los Angeles,"3,999,759"
San Diego,San Diego,"1,419,516"
San Jose,Santa Clara,"1,035,317"
San Francisco,San Francisco,"884,363"
Fresno,Fresno,"527,438"
Sacramento,Sacramento,"501,901"
Long Beach,Los Angeles,"469,450"
Oakland,Alameda,"425,195"
Bakersfield,Kern,"380,874"
Anaheim,Orange,"352,497"
Santa Ana,Orange,"334,136"
Riverside,Riverside,"327,728"
Stockton,San Joaquin,"310,496"
Irvine,Orange,"277,453"
Chula Vista,San Diego,"270,471"
Fremont,Alameda,"234,962"
San Bernardino,San Bernardino,"216,995"
Modesto,Stanislaus,"214,221"
Fontana,San Bernardino,"211,815"
Santa Clarita,Los Angeles,"210,888"
Oxnard,Ventura,"210,037"
Moreno Valley,Riverside,"207,226"
Glendale,Los Angeles,"203,054"
Huntington Beach,Orange,"201,874"
Rancho Cucamonga,San Bernardino,"177,452"
Oceanside,San Diego,"176,193"
Ontario,San Bernardino,"175,841"
Santa Rosa,Sonoma,"175,269"
Garden Grove,Orange,"174,226"
Elk Grove,Sacramento,"171,844"
Corona,Riverside,"167,836"
Hayward,Alameda,"160,500"
Lancaster,Los Angeles,"160,316"
Salinas,Monterey,"157,596"
Palmdale,Los Angeles,"157,519"
Sunnyvale,Santa Clara,"153,656"
Pomona,Los Angeles,"152,939"
Escondido,San Diego,"151,969"
Torrance,Los Angeles,"146,758"
Pasadena,Los Angeles,"142,647"
Orange,Orange,"140,560"
Fullerton,Orange,"140,392"
Roseville,Placer,"135,329"
Visalia,Tulare,"133,010"
Concord,Contra Costa,"129,783"
Thousand Oaks,Ventura,"128,995"
Santa Clara,Santa Clara,"127,134"
Simi Valley,Ventura,"126,878"
Victorville,San Bernardino,"122,441"
Berkeley,Alameda,"122,324"
Vallejo,Solano,"122,105"
Fairfield,Solano,"116,266"
El Monte,Los Angeles,"116,109"
Carlsbad,San Diego,"115,330"
Temecula,Riverside,"114,327"
Costa Mesa,Orange,"113,825"
Murrieta,Riverside,"113,326"
Downey,Los Angeles,"113,092"
Antioch,Contra Costa,"111,674"
Inglewood,Los Angeles,"110,598"
Richmond,Contra Costa,"110,040"
Clovis,Fresno,"109,691"
West Covina,Los Angeles,"107,598"
Daly City,San Mateo,"107,074"
Santa Maria,Santa Barbara,"107,014"
Ventura,Ventura,"106,433"
Norwalk,Los Angeles,"106,084"
Jurupa Valley,Riverside,"106,028"
Burbank,Los Angeles,"104,834"
San Mateo,San Mateo,"104,748"
El Cajon,San Diego,"103,894"
Rialto,San Bernardino,"103,562"
Vista,San Diego,"101,568"
Vacaville,Solano,"100,032"
Compton,Los Angeles,"97,612"
San Marcos,San Diego,"96,198"
Mission Viejo,Orange,"96,016"
South Gate,Los Angeles,"95,430"
Hesperia,San Bernardino,"94,859"
Chico,Butte,"93,293"
Carson,Los Angeles,"92,735"
Santa Monica,Los Angeles,"92,306"
Santa Barbara,Santa Barbara,"92,101"
Redding,Shasta,"91,794"
Westminster,Orange,"91,564"
Tracy,San Joaquin,"90,889"
Menifee,Riverside,"90,595"
San Leandro,Alameda,"90,553"
